month_index,fe,fe_ci_ll,fe_ci_ul
244,-7.44892544324488,-9.67080536814944,-5.22704551834032
245,-4.82507567329439,-5.75036573853823,-3.89978560805055
246,-4.77093801996378,-6.99449005440611,-2.54738598552145
247,-5.18123657445718,-6.76937958190212,-3.59309356701223
248,-3.76211688580119,-5.32291964447433,-2.20131412712804
249,-3.58568214956263,-4.48836178834467,-2.6830025107806
250,-5.07025925869209,-6.64908083296013,-3.49143768442405
251,-5.93055640649887,-7.6769933783416,-4.18411943465614
252,-4.24296609867143,-5.50691516540508,-2.97901703193777
253,-3.42469949954754,-4.80577687968035,-2.04362211941473
254,-4.13217239676053,-4.96880814826951,-3.29553664525156
255,-3.71693951596732,-4.65946698131284,-2.7744120506218
256,-5.71342037108371,-8.33024950626822,-3.0965912358992
257,-3.76039388544852,-5.02818047728629,-2.49260729361074
258,-4.57604785055367,-6.9798749702904,-2.17222073081694
259,-3.65088088723453,-4.53612632950741,-2.76563544496164
260,-4.62155244113766,-5.96941557874912,-3.27368930352621
261,-3.94578300032867,-4.94345524309147,-2.94811075756587
262,-5.23858380742133,-7.02332520411527,-3.45384241072738
263,-4.22281313589708,-5.26246969737365,-3.18315657442051
264,-3.81411825297336,-4.87918519894227,-2.74905130700446
265,-4.97283288796381,-6.43406065058704,-3.51160512534059
266,-4.15059360479922,-5.2502295276721,-3.05095768192635
267,-6.21571474773313,-7.72892656867773,-4.70250292678854
268,-3.47633987346437,-4.86819107377757,-2.08448867315116
269,-4.22671691822596,-5.34483504093671,-3.1085987955152
270,-3.33172207091516,-4.49211027829585,-2.17133386353447
271,-3.92117822106052,-5.20685314279292,-2.63550329932812
272,-2.98637581091547,-4.02497277010666,-1.94777885172427
273,-5.62864138327929,-8.51053458361371,-2.74674818294488
274,-3.53608897068803,-4.86115644915851,-2.21102149221754
275,-3.35281266440786,-4.61915337754907,-2.08647195126666
276,-3.81570697574002,-4.84397788384504,-2.787436067635
277,-3.96290851267047,-4.8975664098758,-3.02825061546514
278,-4.30801200512053,-5.58292585102897,-3.03309815921209
279,-4.77342568450348,-6.07716712139059,-3.46968424761637
280,-4.02094332691987,-5.59452219971411,-2.44736445412563
281,-4.29548192208243,-5.60023834988191,-2.99072549428294
282,-2.98755626516296,-3.98769642492081,-1.9874161054051
283,-3.5141569377343,-4.4879362346827,-2.5403776407859
284,-4.84981549070206,-5.99297486314024,-3.70665611826389
285,-4.03796124055,-5.35691366244097,-2.71900881865903
286,-3.77454175653182,-5.03563460685102,-2.51344890621261
287,-3.20591645807201,-4.42081765396775,-1.99101526217627
288,-4.6409819966531,-6.0654005685769,-3.2165634247293
289,-3.96259863566394,-4.92748520283761,-2.99771206849026
290,-4.05251153966155,-4.98975942870593,-3.11526365061718
291,-4.69819621091768,-6.05095294468933,-3.34543947714603
292,-5.20050982226001,-6.0914804573806,-4.30953918713942
293,-4.86854702563725,-5.84170135529586,-3.89539269597865
294,-3.91021475852773,-4.83741792844106,-2.98301158861439
295,-4.82447899787909,-5.92613219270823,-3.72282580304996
296,-4.84070201339146,-6.02557245144865,-3.65583157533427
297,-3.98359588440845,-4.89338007907317,-3.07381168974374
298,-3.38148096255679,-4.20407914461807,-2.55888278049551
299,-4.12926967171298,-5.28012279888962,-2.97841654453635
300,-4.20274086914052,-5.25734471357851,-3.14813702470253
301,-5.19126541566136,-6.52139808494512,-3.8611327463776
302,-3.71930417604767,-4.81676277688322,-2.62184557521213
303,-4.06948960208143,-5.15611161583712,-2.98286758832575
304,-4.60054791405317,-5.67704014714215,-3.5240556809642
305,-3.56224827468922,-4.56996849174797,-2.55452805763046
306,-3.54994042188731,-4.7543211972788,-2.34555964649583
307,-3.98598560808105,-5.1133596743892,-2.8586115417729
308,-4.31660214067469,-5.34864409521021,-3.28456018613916
309,-3.82630182198784,-4.97058139182669,-2.68202225214899
310,-4.19573887614083,-5.17550475691846,-3.2159729953632
311,-4.73436318667894,-5.99802519958898,-3.4707011737689
312,-4.49159355342197,-6.20686957327207,-2.77631753357187
313,-4.84726700602657,-6.41932392974469,-3.27521008230844
314,-4.71683010583046,-5.96968152975885,-3.46397868190207
315,-4.83982831414607,-6.23545849233457,-3.44419813595756
316,-4.07574582808488,-4.97094485188713,-3.18054680428263
317,-4.35999811204605,-5.5273274957548,-3.1926687283373
318,-4.40882187739994,-5.25719074791566,-3.56045300688422
319,-4.49502646741476,-5.32048169200358,-3.66957124282595
320,-5.27494921562211,-6.42329699118549,-4.12660144005873
321,-4.45474175974902,-5.5863564835702,-3.32312703592784
322,-4.55912579494452,-5.63822041008942,-3.48003117979961
323,-4.97380860280738,-6.16726291172522,-3.78035429388955
324,-4.60093355758956,-5.98947479398009,-3.21239232119902
325,-4.82641284098476,-6.02497066653037,-3.62785501543914
326,-5.02294055621001,-6.10241598673027,-3.94346512568976
327,-4.00344322729785,-4.96792867779768,-3.03895777679802
328,-5.05079550338676,-6.1619797911198,-3.93961121565371
329,-4.2132210408605,-5.1785221135513,-3.24791996816971
330,-4.39150125554266,-5.4530587510203,-3.32994376006502
331,-4.13584106631482,-5.13256025772875,-3.13912187490088
332,-4.82956438177791,-5.76458890148294,-3.89453986207288
333,-4.11421239958752,-5.11394392764221,-3.11448087153283
334,-4.94398847063297,-6.05773936001184,-3.8302375812541
335,-5.05986134235037,-6.25612731520969,-3.86359536949104
336,-4.1360967649212,-5.03088187055696,-3.24131165928544
337,-4.90175366692953,-5.98743125923251,-3.81607607462656
338,-5.14807348465882,-6.32095218272726,-3.97519478659038
339,-5.19597218356497,-6.21927193525394,-4.17267243187601
340,-4.74605962809076,-5.64471871252899,-3.84740054365252
341,-4.79069137958429,-5.81784972455246,-3.76353303461611
342,-4.91106984032757,-5.90206063392086,-3.92007904673427
343,-4.4993283167101,-5.47627457803092,-3.52238205538929
344,-5.37786580747297,-6.83218681195561,-3.92354480299034
345,-5.58829110497967,-6.54950556712034,-4.627076642839
346,-5.13315328214156,-6.4509588057183,-3.81534775856481
347,-5.20089364599534,-6.30412825160159,-4.09765904038909
348,-5.79395193266853,-6.80257316414461,-4.78533070119245
349,-4.83956904209286,-5.99476493557247,-3.68437314861325
350,-5.97158624512047,-7.38551624797759,-4.55765624226335
351,-4.54004694452513,-5.43719159123659,-3.64290229781366
352,-4.88319520996745,-6.16953346032592,-3.59685695960898
353,-5.38282887355915,-6.60399803314672,-4.16165971397158
354,-5.23082766903681,-6.19254273395329,-4.26911260412032
355,-4.55739388871727,-5.38154526663471,-3.73324251079984
356,-4.60042650557825,-5.58317387509672,-3.61767913605977
357,-5.15990218355847,-6.17453606617971,-4.14526830093723
358,-5.78877591771336,-6.80694960483347,-4.77060223059324
359,-4.85327258315987,-5.92701937755926,-3.77952578876049
360,-5.46638443628302,-6.68533402188662,-4.24743485067942
361,-5.47515277493427,-6.47613603210482,-4.47416951776373
362,-4.45639112582199,-5.51047432683101,-3.40230792481298
363,-5.20353464187598,-6.20329754347933,-4.20377174027264
364,-4.86660646858369,-5.80180914852314,-3.93140378864423
365,-5.51649772093061,-6.81609704267135,-4.21689839918987
366,-6.66938437729884,-7.91498233654228,-5.4237864180554
367,-5.78716953044984,-6.71347772392073,-4.86086133697895
368,-5.24001701357663,-6.24617236713875,-4.2338616600145
369,-5.46228744392559,-6.6588262963928,-4.26574859145838
370,-5.4300430974884,-6.33532031054899,-4.5247658844278
371,-4.37700705201939,-5.32488696281217,-3.42912714122662
372,-5.68901292648114,-6.86147414598801,-4.51655170697427
373,-5.40075386240069,-6.24540784801258,-4.5560998767888
374,-6.05709749859383,-6.9667718108871,-5.14742318630057
375,-6.3558401759227,-7.37780458698204,-5.33387576486336
376,-5.03313884301409,-5.8636209255786,-4.20265676044958
377,-5.53744103980406,-6.421004189295,-4.65387789031311
378,-5.47563325506304,-6.35519495695499,-4.59607155317109
379,-5.75089043476321,-6.59472878683459,-4.90705208269184
380,-5.68304408913806,-6.61254598998191,-4.75354218829422
381,-5.74990836012709,-6.68964161343076,-4.81017510682343
382,-5.36531299435468,-6.26675789515509,-4.46386809355427
383,-5.35427689225155,-6.26346932223302,-4.44508446227009
384,-5.5245617569289,-6.44776643213017,-4.60135708172762
385,-5.73737259788101,-6.78631444551461,-4.68843075024742
386,-6.70775221081371,-8.02380881448318,-5.39169560714423
387,-5.9234514689929,-6.87480757362712,-4.97209536435868
388,-5.29504149496954,-6.23258127149507,-4.35750171844401
389,-5.6172278392101,-6.5026536677214,-4.7318020106988
390,-5.96532258746797,-7.10084703505892,-4.82979813987701
