label,fe,fe_ci_ll,fe_ci_ul,year,fe_raw,fe_ci_ll_raw,fe_ci_ul_raw,segment,segment_population
1961,-0.169303112075018,-0.5628297380204133,0.22422351387037628,1961,-0.182404041182981,-0.600849195075371,0.236041112709408,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1962,-0.0831579872656202,-0.4330544186880318,0.2667384441567919,1962,-0.0908041146942727,-0.462856363360326,0.281248133971781,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1963,-0.16556500873626556,-0.5303964298643855,0.19926641239185436,1963,-0.178429237132322,-0.566362175067552,0.209503700802908,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1964,0.00642884258568076,-0.3562495809316926,0.36910726610305383,1964,0.0044554492902507,-0.381188160916787,0.390099059497288,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1965,0.049335757956244376,-0.31565851379075016,0.4143300297032397,1965,0.0500792765526391,-0.338026823877283,0.438185376982562,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1966,-0.08269201119987475,-0.444144695427684,0.2787606730279347,1966,-0.0903086325243621,-0.474648888315618,0.294031623266894,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1967,0.20434443080140674,-0.18292218098549096,0.5916110425883054,1967,0.214903264783487,-0.196885484141061,0.626692013708036,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1968,0.09078443749618231,-0.27979993973355755,0.46136881472592184,1968,0.0941525309278902,-0.299897646458407,0.488202708314187,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1969,-0.049933049325464524,-0.4218631368853885,0.32199703823445947,1969,-0.055475338055503,-0.450956437593143,0.340005761482137,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1970,-0.1750051585960723,-0.5589706359957834,0.20896031880363802,1970,-0.188467147404249,-0.596745730572294,0.219811435763795,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1971,-0.04000101801516545,-0.40938783915527216,0.3293858031249415,1971,-0.0449143998721771,-0.437691190633065,0.347862390888711,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1972,0.08161043549192565,-0.2825253034154057,0.4457461743992567,1972,0.0843976212791262,-0.302795583091091,0.471590825649343,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1973,-0.03820611674123714,-0.3928259412259946,0.31641370774352,1973,-0.0430058435248493,-0.420080575567013,0.334068888517314,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1974,0.05392390657288891,-0.30020193139128976,0.4080497445370684,1974,0.0549579516597191,-0.321591514105664,0.431507417425103,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1975,0.06403814907058743,-0.29212147413308914,0.42019777227426336,1975,0.0657126388382219,-0.312999393628922,0.444424671305365,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1976,-0.044910320046767066,-0.39120058538962266,0.30137994529608875,1976,-0.0501345641728331,-0.418352300456157,0.318083172110491,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1977,-0.046291300340581105,-0.39411282828085936,0.3015302275996974,1977,-0.0516029896197241,-0.421448949690165,0.318242970450717,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1978,0.06062777938551688,-0.2830163832641767,0.40427194203521055,1978,0.062086320887636,-0.303317758642488,0.42749040041776,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1979,0.07925112477137869,-0.2643168975050577,0.4228191470478157,1979,0.0818889164737842,-0.283434201393,0.447212034340569,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1980,0.008114851762602557,-0.33973061355152556,0.35596031707673015,1980,0.0062482183762208,-0.363623194808251,0.376119631560692,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1981,0.07190251951583652,-0.27884615821899533,0.4226511972506684,1981,0.074074989653299,-0.29888347047557,0.447033449782168,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1982,0.028708596422354644,-0.32216579797143274,0.3795829908161423,1982,0.0281459810312089,-0.344946156270271,0.401238118332689,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1983,0.16204757827567917,-0.18524213038711843,0.5093372869384758,1983,0.169928130199461,-0.199352335226561,0.539208595625482,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1984,0.03588433713141072,-0.3167232925111684,0.3884919667739901,1984,0.0357760973367559,-0.339159025528077,0.410711220201589,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1985,0.0029713565386519938,-0.34517962646825157,0.3511223395455558,1985,0.0007790315191429,-0.369417245066028,0.370975308104314,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1986,0.10063495530130105,-0.24315029596266283,0.444420206565265,1986,0.104626794083478,-0.260927307943266,0.470180896110222,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1987,0.09406102460817248,-0.250808045268947,0.4389300944852918,1987,0.0976365950494086,-0.269069954147292,0.464343144246109,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1988,0.055222356813501114,-0.2847090948800488,0.39515380850705073,1988,0.0563386211619397,-0.30511765457303,0.417794896896909,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1989,-0.01766206582883166,-0.3630065644646519,0.32768243280698883,1989,-0.0211609212785781,-0.388373003892799,0.346051161335643,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1990,-0.010997348018357271,-0.35560991979976114,0.3336152237630474,1990,-0.0140741863895384,-0.380507995756051,0.352359622976975,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1991,-0.020041166348164795,-0.36171738411496546,0.32163505141863535,1991,-0.0236906689939867,-0.387002191260938,0.339620853272964,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1992,0.015084283325055245,-0.33113317157894967,0.3613017382290601,1992,0.0136589618187691,-0.354481353590639,0.381799277228177,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1993,-0.09964087915667796,-0.4467705924732848,0.24748883415992795,1993,-0.108330720975044,-0.477441059977986,0.260779618027897,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1994,-0.04180645869192549,-0.38826466491786393,0.3046517475340124,1994,-0.0468341629886257,-0.415230474351838,0.321562148374586,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1995,0.007892402018951925,-0.3360363918729405,0.35182119591084493,1995,0.0060116828762617,-0.359695051051537,0.371718416804061,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1996,0.02098269268572741,-0.32145632879768465,0.3634217141691401,1996,0.0199308647852262,-0.344191762747653,0.384053492318106,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
